tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;825;346 m²;4;0;1;41011;0;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;825;326 m²;3;1;1;41011;0;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;6 hab.;820;301 m²;3;1;0;41011;1966;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;795;325 m²;4;1;1;41011;2000;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;700;280 m²;4;1;1;41011;1970;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;700;240 m²;4;1;1;41011;0;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;650;250 m²;2;1;1;41011;1973;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;600;228 m²;2;1;1;41011;0;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;530;200 m²;3;0;1;41011;1981;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;465;158 m²;3;1;1;41011;1981;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;3 hab.;465;148 m²;2;0;1;41011;0;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;4 hab.;414;148 m²;1;0;0;41011;1966;2
Piso en avenida de la República Argentina, Sevilla, Plaza de Cuba - República Argentina, Sevilla;5 hab.;855;300 m²;3;1;1;41011;1972;2
Piso en avenida de la República Argentina, Sevilla, Plaza de Cuba - República Argentina, Sevilla;6 hab.;775;280 m²;2;1;0;41011;1963;2
Piso en avenida de las Ciencias, Avenida de las Ciencias, Sevilla;2 hab.;131,5;84 m²;1;0;0;41020;1997;6
Piso en Avenida de las Ciencias, Sevilla;1 hab.;105;55 m²;1;1;0;41020;2006;6
Piso en Avenida de las Ciencias, Sevilla;2 hab.;128;67 m²;1;1;0;41020;1998;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;134,9;82 m²;2;1;1;41020;1996;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;137,9;90 m²;2;1;1;41020;0;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;138,5;94 m²;2;1;1;41020;1996;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;139,999;90 m²;2;1;1;41020;1999;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;140;85 m²;2;0;0;41020;0;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;140;90 m²;2;1;0;41020;1991;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;143;100 m²;2;1;0;41020;1994;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;145,288;80 m²;1;1;1;41020;1996;6
Piso en Avenida de las Ciencias, Sevilla;2 hab.;146,5;84 m²;2;1;0;41020;1998;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;146,5;99 m²;2;1;0;41020;1998;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;147;95 m²;2;1;0;41020;1997;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;148,47;82 m²;2;1;1;41020;1997;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;154;90 m²;2;1;0;41020;1996;6
Piso en Avenida de las Ciencias, Sevilla;4 hab.;230;100 m²;2;1;1;41020;1989;6
Piso en Avenida de las Ciencias, Sevilla;4 hab.;175,9;113 m²;2;1;1;41020;1989;6
Piso en Avenida de las Ciencias, Sevilla;4 hab.;170;114 m²;2;1;1;41020;1989;6
Piso en Avenida de las Ciencias, Sevilla;4 hab.;168;113 m²;2;1;1;41020;2003;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;167;94 m²;2;1;1;41020;0;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;157,26;84 m²;2;1;0;41020;1998;6
Piso en Avenida de las Ciencias, Sevilla;4 hab.;157;111 m²;2;0;1;41020;1994;6
Piso en Avenida de las Ciencias, Sevilla;3 hab.;154;90 m²;2;1;0;41020;1996;6
Piso en avenida de las Razas, 1, Felipe II - Bueno Monreal, Sevilla;5 hab.;525;210 m²;3;0;0;41013;1955;3
Piso en avenida de los Claveles, Juan XXIII, Sevilla;3 hab.;116,05;96 m²;2;0;1;41006;1984;1
Piso en avenida de Pedro Romero, 3, San Pablo, Sevilla;3 hab.;55;57 m²;1;0;0;41007;1967;3
Piso en avenida de Pino Montano, Villegas - Los Principes, Sevilla;2 hab.;150;88 m²;1;0;0;41008;1999;1
Piso en avenida de Pino Montano, Villegas - Los Principes, Sevilla;2 hab.;150;88 m²;1;0;0;41008;1999;1
Piso en avenida de Ramón y Cajal, Nervión, Sevilla;3 hab.;295;124 m²;2;1;0;41005;0;2
Piso en avenida de San Juan de la Cruz, Amate, Sevilla;2 hab.;61,99;59 m²;1;0;0;41006;1957;1
Piso en avenida de San Juan de La Cruz, Amate, Sevilla;2 hab.;69,99;61 m²;1;0;0;41006;1957;1
Piso en avenida del Deporte, 14, Emilio Lemos, Sevilla;2 hab.;115;85 m²;1;1;1;41020;2010;6
Piso en avenida Eduardo Dato, San Bernardo-Buhaira-Huerta del Rey, Sevilla;6 hab.;380;157 m²;2;0;1;41018;0;5
Piso en avenida Emilio Lemos, Emilio Lemos, Sevilla;2 hab.;132;100 m²;1;1;0;41020;2010;6
Piso en avenida Emilio Lemos, Emilio Lemos, Sevilla;3 hab.;192,455;140 m²;2;1;1;41020;2004;6
Piso en avenida Emilio Lemos, Emilio Lemos, Sevilla;4 hab.;165;100 m²;2;1;0;41020;2006;6
Piso en avenida Finlandia, Los Bermejales, Sevilla;3 hab.;305;101 m²;2;1;0;41012;2010;3
Piso en avenida Flota de Indias, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;895;214 m²;3;1;1;41011;0;2
Piso en avenida Flota de Indias, Ramón de Carranza - Madre Rafols, Sevilla;3 hab.;480;148 m²;2;1;1;41011;1966;2
Piso en avenida Flota de Indias, Ramón de Carranza - Madre Rafols, Sevilla;3 hab.;430;148 m²;2;0;1;41011;0;2
