tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Piso en calle Luis Montoto, Sevilla, Luis Montoto - Santa Justa, Sevilla;3 hab.;230;90 m²;2;0;1;41007;0;3
Piso en calle Macasta, Sevilla, San Julián, Sevilla;2 hab.;195;83 m²;2;0;0;41003;0;44
Piso en calle Madre Ràfols, Ramón de Carranza - Madre Rafols, Sevilla;4 hab.;650;202 m²;3;1;1;41011;0;2
Piso en calle Madrid, Arenal - Museo, Sevilla;3 hab.;540;130 m²;2;1;0;41001;0;48
Piso en calle madrid, Arenal - Museo, Sevilla;3 hab.;540;130 m²;2;1;0;41001;0;48
Piso en calle Madrid, Arenal - Museo, Sevilla;3 hab.;540;130 m²;2;1;0;41001;1999;48
Piso en calle Maestro Gómez Zarzuela, Arroyo - Santa Justa, Sevilla;2 hab.;290;109 m²;2;1;0;41008;0;1
Piso en calle Malaquita, Doctor Fedriani, Sevilla;4 hab.;158;88 m²;1;0;0;41009;0;2
Piso en calle Manila, 1, Emilio Lemos, Sevilla;4 hab.;140;111 m²;2;1;1;41020;0;6
Piso en calle Manila, Emilio Lemos, Sevilla;4 hab.;147,4;111 m²;2;1;1;41020;1983;6
Piso en calle Manuel Arellano, 34, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;322,8;117 m²;2;1;1;41010;0;5
Piso en calle Manuel Arellano, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;322,8;117 m²;2;0;0;41010;1997;5
Piso en calle Manuel Arellano, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;322,8;117 m²;2;0;0;41010;0;5
Piso en calle Manuel Arellano, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;190;70 m²;1;0;1;41010;0;5
Piso en calle Mar Negro, Doctor Fedriani, Sevilla;3 hab.;85;68 m²;1;0;1;41009;0;2
Piso en calle Maracaibo, Villegas - Los Principes, Sevilla;3 hab.;81;104 m²;1;0;0;41009;1966;2
Piso en calle María Fulmen, Parque Alcosa, Sevilla;3 hab.;133;100 m²;2;1;0;41019;0;0
Piso en calle María Fulmen, Parque Alcosa, Sevilla;3 hab.;139,5;121 m²;2;1;0;41019;2000;0
Piso en calle Marianillo, s/n, López de Gomara, Sevilla;2 hab.;149,7;105 m²;1;0;0;41010;2000;5
Piso en calle Marqués de Paradas, Arenal - Museo, Sevilla;4 hab.;750;287 m²;4;1;1;41001;0;48
Piso en calle Marqués de Paradas, Sevilla, Arenal - Museo, Sevilla;6 hab.;750;286 m²;4;1;1;41001;0;48
Piso en calle Marqués de Paradas, Sevilla, Arenal - Museo, Sevilla;6 hab.;750;286 m²;4;1;1;41001;0;48
Piso en calle Marques del Nervion, Nervión, Sevilla;3 hab.;350;120 m²;2;1;0;41005;0;2
Piso en calle Marques del Nervion, Nervión, Sevilla;3 hab.;286;96 m²;1;1;0;41005;0;2
Piso en calle Marques del Nervion, Nervión, Sevilla;3 hab.;232;95 m²;1;0;1;41005;0;2
Piso en calle Marques del Nervion, Nervión, Sevilla;3 hab.;232;95 m²;1;0;1;41005;0;2
Piso en calle Marques del Nervion, Sevilla, 24, Nervión, Sevilla;5 hab.;580;213 m²;3;1;1;41005;0;2
Piso en calle Marques del Nervion, Sevilla, Nervión, Sevilla;3 hab.;282;90 m²;1;0;0;41005;0;2
Piso en calle Mateos Gago, Santa Cruz - Alfalfa, Sevilla;2 hab.;471,2;120 m²;1;0;0;41004;0;53
Piso en calle Mejillón, San Jerónimo, Sevilla;2 hab.;44;54 m²;1;0;0;41015;1964;0
Piso en calle Mejillón, San Jerónimo, Sevilla;2 hab.;61;52 m²;1;0;0;41015;1964;0
Piso en calle Memphis, 13, San Pablo, Sevilla;3 hab.;85;76 m²;1;0;0;41007;1976;3
Piso en calle Mendoza Ríos, San Vicente, Sevilla;1 hab.;195;62 m²;1;0;0;41002;0;17
Piso en calle Menéndez Pidal, Villegas - Los Principes, Sevilla;3 hab.;75;87 m²;1;0;0;41011;1966;2
Piso en calle Miño, Parque de los Principes - Calle Niebla, Sevilla;3 hab.;430;136 m²;2;0;1;41011;1968;2
Piso en calle Modesto Abin, Sevilla, 32, Cerro del Águila, Sevilla;3 hab.;150;108 m²;2;0;0;41006;2020;1
Piso en calle Modesto Abin, Sevilla, 32, Cerro del Águila, Sevilla;3 hab.;150;108 m²;2;0;0;41006;2020;1
Piso en calle Monte Carmelo, Asunción - Adolfo Suárez, Sevilla;4 hab.;430;157 m²;2;0;0;41011;1967;2
Piso en calle Monte Carmelo, Asunción - Adolfo Suárez, Sevilla;4 hab.;380;220 m²;3;0;1;41011;1964;2
Piso en calle Muñoz León, Cruz Roja - Capuchinos, Sevilla;3 hab.;270;108 m²;1;0;1;41009;1970;2
Piso en calle Naranco, El Juncal - El Porvenir, Sevilla;3 hab.;155;71 m²;1;0;0;41005;1963;2
Piso en calle Nicasio Gallego, Arroyo - Santa Justa, Sevilla;3 hab.;110;68 m²;1;0;0;41008;1958;1
Piso en calle Nicasio Gallego, Arroyo - Santa Justa, Sevilla;3 hab.;110;65 m²;1;0;0;41008;0;1
Piso en calle Niculoso Pisano, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;4 hab.;380;128 m²;2;1;1;41010;1995;5
Piso en calle O'Donnell, Arenal - Museo, Sevilla;4 hab.;636;170 m²;2;0;0;41001;0;48
Piso en calle O'Donnell, Arenal - Museo, Sevilla;3 hab.;450;122 m²;2;0;1;41001;0;48
Piso en calle Ópera Carmen, Santa Clara, Sevilla;4 hab.;259,9;192 m²;2;1;1;41007;1976;3
Piso en calle Ópera Carmen, Santa Clara, Sevilla;4 hab.;190;132 m²;2;1;1;41007;0;3
Piso en calle Orden de Malta, San Julián, Sevilla;3 hab.;238,5;94 m²;1;0;0;41003;0;44
Piso en calle Otoño, Doctor Fedriani, Sevilla;3 hab.;94,5;71 m²;1;0;1;41009;1971;2
Piso en calle Pacheco y Núñez del Prado, Alameda, Sevilla;1 hab.;176;56 m²;1;0;0;41002;2005;17
Piso en calle Padre Damián, 24, Ramón de Carranza - Madre Rafols, Sevilla;3 hab.;169;85 m²;2;0;1;41011;0;2
Piso en calle Padre Damián, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;480;193 m²;2;1;1;41011;1963;2
Piso en calle Padre Damián, Ramón de Carranza - Madre Rafols, Sevilla;2 hab.;263;95 m²;2;0;1;41011;0;2
Piso en calle Padre Damián, Ramón de Carranza - Madre Rafols, Sevilla;2 hab.;250;94 m²;2;0;1;41011;1962;2
Piso en calle Padre Damián, Sevilla, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;450;190 m²;3;0;1;41011;0;2
Piso en calle Padre Isla, Arroyo - Santa Justa, Sevilla;2 hab.;107,5;63 m²;1;0;1;41008;0;1
Piso en calle Padre Pedro Ayala, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;3 hab.;229,5;90 m²;2;1;1;41005;1987;2
Piso en calle Padre Pedro Ayala, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;3 hab.;190;91 m²;2;0;0;41005;1987;2
Piso en calle Padre Pedro Ayala, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;3 hab.;190;91 m²;2;0;0;41005;1987;2
Piso en calle Pagés del Corro, 101, Calle Betis - Pagés del Corro, Sevilla;3 hab.;170;87 m²;1;0;1;41010;1965;5
Piso en calle Paulo Orosio, Amate, Sevilla;2 hab.;59,5;64 m²;1;0;0;41006;1957;1
Piso en calle Pedro Pérez Fernández, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;550;205 m²;3;1;1;41011;1971;2
Piso en calle Periodista Juan Tribuna, 1, Emilio Lemos, Sevilla;3 hab.;195;95 m²;2;1;1;41020;2018;6
Piso en calle Perséfone, Jardines de Hércules, Sevilla;3 hab.;235;107 m²;2;1;1;41014;2006;3
Piso en calle Perséfone, Sevilla, 7, Jardines de Hércules, Sevilla;3 hab.;215;101 m²;2;1;1;41014;2006;3
Piso en calle Pinta, 37, Arroyo - Santa Justa, Sevilla;3 hab.;297;103 m²;2;0;0;41008;1997;1
Piso en calle Pinzón, Calle Betis - Pagés del Corro, Sevilla;2 hab.;249,5;93 m²;1;0;0;41010;1950;5
Piso en calle Poeta Fernando de los Ríos, Villegas - Los Principes, Sevilla;3 hab.;47;84 m²;1;0;1;41009;1966;2
Piso en calle Previsión, Pio Xii, Sevilla;3 hab.;128;92 m²;1;0;1;41008;0;1
Piso en calle Profesor Manuel Olivencia Ruiz, Emilio Lemos, Sevilla;3 hab.;172;124 m²;2;1;0;41020;2011;6
Piso en calle Progreso, Felipe II - Bueno Monreal, Sevilla;2 hab.;265;75 m²;1;1;0;41013;0;3
Piso en calle Puerto de Envalira, Rochelambert, Sevilla;4 hab.;75;103 m²;2;0;1;41006;0;1
Piso en calle Puerto de la Mora, Rochelambert, Sevilla;4 hab.;105,6;94 m²;2;0;1;41006;1975;1
Piso en calle Puerto de los Alazores, Rochelambert, Sevilla;4 hab.;81;85 m²;2;0;0;41006;1971;1
Piso en calle Puerto de Piedrafita, Rochelambert, Sevilla;4 hab.;75;103 m²;2;0;0;41006;1973;1
Piso en calle Puerto de Viella, Rochelambert, Sevilla;2 hab.;79,5;79 m²;1;0;0;41006;1971;1
Piso en calle Puerto de Viella, Rochelambert, Sevilla;5 hab.;93;85 m²;1;0;0;41006;1971;1
Piso en calle puerto de Viella, Rochelambert, Sevilla;4 hab.;93;85 m²;1;0;0;41006;1971;1
Piso en calle Puerto del Escudo, Rochelambert, Sevilla;3 hab.;98,99;80 m²;1;0;0;41006;1975;1
Piso en calle Puerto del Escudo, Rochelambert, Sevilla;2 hab.;107,5;85 m²;1;0;1;41006;1971;1
Piso en calle Pureza, 24, Calle Betis - Pagés del Corro, Sevilla;4 hab.;440;133 m²;2;0;0;41010;1989;5
Piso en calle Radio Sevilla, Sevilla, Arenal - Museo, Sevilla;4 hab.;350;127 m²;2;0;1;41001;0;48
Piso en calle Rafael Belmonte García, 10, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;375;124 m²;2;1;1;41010;2000;5
Piso en calle Rafael González Abreu, Sevilla, Arenal - Museo, Sevilla;2 hab.;275;70 m²;2;1;0;41001;0;48
Piso en calle Rector Candil, Prado de San Sebastián - Ramón Carande, Sevilla;4 hab.;790;208 m²;2;0;0;41004;2005;53
Piso en calle Redes, San Vicente, Sevilla;5 hab.;680;251 m²;3;0;0;41002;0;17
Piso en calle Retículo, Los Pajaritos, Sevilla;2 hab.;34,99;53 m²;1;0;0;41006;0;1
Piso en calle Reyes Católicos, Arenal - Museo, Sevilla;5 hab.;1000;272 m²;3;1;1;41001;1980;48
Piso en calle Rico Cejudo, San Bernardo-Buhaira-Huerta del Rey, Sevilla;1 hab.;166;54 m²;1;0;1;41018;1982;5
Piso en calle Rocío, Calle Betis - Pagés del Corro, Sevilla;2 hab.;245;75 m²;2;0;0;41010;0;5
Piso en calle Rosario, 17, Arenal - Museo, Sevilla;4 hab.;690;175 m²;3;1;0;41001;1970;48
Piso en calle Rosario, Arenal - Museo, Sevilla;3 hab.;670;133 m²;3;1;0;41001;0;48
Piso en calle Rosario, Arenal - Museo, Sevilla;3 hab.;656;131 m²;3;1;0;41001;1987;48
Piso en calle Rosario, Arenal - Museo, Sevilla;3 hab.;656;133 m²;3;1;0;41001;1987;48
Piso en calle Rubens, Plaza de la Gavidia-San Lorenzo, Sevilla;2 hab.;295;85 m²;1;0;1;41002;0;17
Piso en calle Rubens, s/n, Plaza de la Gavidia-San Lorenzo, Sevilla;1 hab.;165;42 m²;1;0;0;41002;0;17
Piso en calle Salado, López de Gomara, Sevilla;2 hab.;291;105 m²;2;0;0;41010;2012;5
Piso en calle Salado, Plaza de Cuba - República Argentina, Sevilla;3 hab.;396,802;142 m²;2;0;1;41011;2018;2
Piso en calle Salado, Plaza de Cuba - República Argentina, Sevilla;3 hab.;389;142 m²;2;0;1;41011;2018;2
Piso en calle Salado, Plaza de Cuba - República Argentina, Sevilla;2 hab.;291,375;105 m²;2;0;0;41011;0;2
Piso en calle SALMEDINA, Felipe II - Bueno Monreal, Sevilla;3 hab.;235;82 m²;2;0;0;41013;0;3
Piso en calle Salmón, San Jerónimo, Sevilla;2 hab.;38,6;55 m²;1;0;1;41015;1964;0
Piso en calle Salvador Dalí, s/n, La Salle-Avd Manuel del Valle-Las Naciones, Sevilla;3 hab.;285;110 m²;2;1;1;41008;1991;1
Piso en calle Samaniego, Arroyo - Santa Justa, Sevilla;3 hab.;94;68 m²;1;0;0;41008;0;1
Piso en calle Samaniego, Arroyo - Santa Justa, Sevilla;2 hab.;97;54 m²;1;0;0;41008;1958;1
Piso en calle San Gregorio, Santa Cruz - Alfalfa, Sevilla;3 hab.;500;120 m²;2;0;0;41004;0;53
Piso en calle San Jacinto, López de Gomara, Sevilla;3 hab.;525;108 m²;2;0;1;41010;0;5
Piso en calle San Jacinto, López de Gomara, Sevilla;4 hab.;487;115 m²;2;0;1;41010;0;5
Piso en calle san jacinto, López de Gomara, Sevilla;4 hab.;440;185 m²;3;0;1;41010;1978;5
Piso en calle San Jacinto, López de Gomara, Sevilla;4 hab.;435;137 m²;2;0;1;41010;0;5
Piso en calle San Jacinto, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;330;107 m²;2;0;0;41010;0;5
Piso en calle San Nicolás del Puerto, Torreblanca, Sevilla;3 hab.;80;89 m²;1;0;0;41016;1972;1
Piso en calle San Pablo, Arenal - Museo, Sevilla;3 hab.;530;143 m²;3;0;0;41001;0;48
Piso en calle San Pablo, Arenal - Museo, Sevilla;3 hab.;370;95 m²;1;0;0;41001;0;48
Piso en calle San Pablo, Arenal - Museo, Sevilla;3 hab.;360;95 m²;1;0;0;41001;0;48
Piso en calle San Pablo, Arenal - Museo, Sevilla;1 hab.;330;72 m²;1;1;0;41001;0;48
Piso en calle Santa Angela de la Cruz, Encarnación-Las Setas, Sevilla;4 hab.;495;182 m²;2;0;1;41003;1970;44
Piso en calle Santa Angela de la Cruz, Encarnación-Las Setas, Sevilla;4 hab.;495;180 m²;2;0;1;41003;0;44
Piso en calle Santa Clara, 5, Plaza de la Gavidia-San Lorenzo, Sevilla;2 hab.;295;95 m²;2;0;0;41002;2020;17
Piso en calle Santa Clara, Plaza de la Gavidia-San Lorenzo, Sevilla;2 hab.;165;61 m²;1;0;0;41002;1970;17
Piso en calle Santa Lucía, San Julián, Sevilla;3 hab.;249;119 m²;2;1;0;41003;1989;44
Piso en calle Santa María de Gracia, 3, Encarnación-Las Setas, Sevilla;4 hab.;690;154 m²;2;0;0;41003;0;44
Piso en calle Santa María de Ordás, Ctra. de Carmona-Miraflores, Sevilla;3 hab.;129;81 m²;1;0;1;41008;1970;1
Piso en calle Santo Ángel, Sevilla, Parque de los Principes - Calle Niebla, Sevilla;3 hab.;163;66 m²;1;0;1;41011;1965;2
Piso en calle Santo Domingo de la Calzada, 19, Nervión, Sevilla;4 hab.;749;249 m²;2;1;1;41018;1980;5
Piso en calle Satsuma, Santa Aurelia, Sevilla;3 hab.;79;70 m²;2;0;0;41006;0;1
Piso en calle Siete Revueltas, 14, Santa Cruz - Alfalfa, Sevilla;2 hab.;225;82 m²;1;0;0;41004;2005;53
Piso en calle Sueño del Patricio, San Pablo, Sevilla;3 hab.;59,95;69 m²;1;0;0;41007;0;3
Piso en calle Sueño del Patricio, San Pablo, Sevilla;3 hab.;76;69 m²;1;0;0;41007;1963;3
Piso en calle Sueño del Patricio, San Pablo, Sevilla;3 hab.;77;69 m²;1;0;0;41007;1963;3
Piso en calle Tabladilla, Felipe II - Bueno Monreal, Sevilla;5 hab.;575;186 m²;2;1;0;41013;1976;3
Piso en calle Tarfia, Reina Mercedes - Heliópolis, Sevilla;3 hab.;135;73 m²;1;0;0;41012;1960;3
Piso en calle Tarfia, Reina Mercedes - Heliópolis, Sevilla;3 hab.;137;73 m²;1;0;0;41012;1960;3
Piso en calle Tarfia, Reina Mercedes - Heliópolis, Sevilla;3 hab.;145;75 m²;1;0;0;41012;0;3
Piso en calle Tarfia, Sevilla, 9, Reina Mercedes - Heliópolis, Sevilla;4 hab.;229;150 m²;2;0;1;41012;0;3
Piso en calle Tello de Guzmán, Felipe II - Bueno Monreal, Sevilla;3 hab.;175;64 m²;1;0;0;41013;0;3
Piso en calle Teodosio, Sevilla, Plaza de la Gavidia-San Lorenzo, Sevilla;3 hab.;750;425 m²;3;1;0;41002;1974;17
Piso en calle Teodosio, Sevilla, San Vicente, Sevilla;1 hab.;270;83 m²;1;0;0;41002;0;17
Piso en calle Thailandia, 5, Emilio Lemos, Sevilla;4 hab.;133;122 m²;2;0;0;41020;1996;6
Piso en calle Thailandia, Emilio Lemos, Sevilla;2 hab.;129;71 m²;1;1;0;41020;1996;6
Piso en calle Tintes, Puerta de la Carne - Judería, Sevilla;4 hab.;370;117 m²;3;0;0;41004;1989;53
Piso en calle Tintes, Puerta de la Carne - Judería, Sevilla;4 hab.;235;108 m²;1;0;0;41004;1965;53
Piso en calle Torneo, San Vicente, Sevilla;2 hab.;270;80 m²;1;0;1;41002;1972;17
Piso en calle Torres Farfán, Bellavista, Sevilla;3 hab.;96;108 m²;2;0;1;41014;1975;3
Piso en calle Unidad, Palmete-Padre Pío-Hacienda San Antonio, Sevilla;3 hab.;45;77 m²;1;0;0;41006;1987;1
Piso en calle UNIDAD, Palmete-Padre Pío-Hacienda San Antonio, Sevilla;4 hab.;68;90 m²;1;0;1;41006;1987;1
Piso en calle Urbión, 11, El Juncal - El Porvenir, Sevilla;4 hab.;297;120 m²;2;1;1;41005;1974;2
Piso en calle Urquiza, Arroyo - Santa Justa, Sevilla;2 hab.;239;94 m²;1;0;1;41008;1969;1
Piso en calle Valdelarco, s/n, Villegas - Los Principes, Sevilla;3 hab.;60;79 m²;1;0;0;41011;0;2
Piso en calle Valdelarco, s/n, Villegas - Los Principes, Sevilla;3 hab.;68;56 m²;1;0;0;41011;0;2
Piso en calle Vicente Alanís, 11, Arroyo - Santa Justa, Sevilla;2 hab.;333;85 m²;2;0;1;41008;2005;1
Piso en calle Victoria Kent, s/n, Villegas - Los Principes, Sevilla;2 hab.;128;80 m²;1;1;0;41011;0;2
Piso en calle Victoria Kent, Sevilla, 5, Villegas - Los Principes, Sevilla;3 hab.;169;146 m²;2;0;0;41011;0;2
Piso en calle Victoria Kent, Villegas - Los Principes, Sevilla;2 hab.;128;80 m²;1;1;0;41011;0;2
Piso en calle Villamanrique, Palmete-Padre Pío-Hacienda San Antonio, Sevilla;3 hab.;90,1;120 m²;2;0;0;41006;0;1
Piso en calle Virgen de la Antigua, 20, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;370;190 m²;2;1;1;41011;0;2
Piso en calle Virgen de la Antigua, 20, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;360;190 m²;2;1;1;41011;1963;2
Piso en calle Virgen de la Antigua, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;559;300 m²;4;1;1;41011;0;2
Piso en calle Virgen de la Antigua, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;559;300 m²;4;1;1;41011;1970;2
Piso en calle Virgen de la Antigua, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;530;185 m²;2;1;1;41011;2015;2
Piso en calle Virgen de la Antigua, Ramón de Carranza - Madre Rafols, Sevilla;4 hab.;450;180 m²;3;1;1;41011;1963;2
Piso en calle Virgen de la Antigua, Ramón de Carranza - Madre Rafols, Sevilla;4 hab.;296;135 m²;2;1;0;41011;0;2
Piso en calle Virgen de la Antigua, Sevilla, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;550;188 m²;3;1;1;41011;0;2
Piso en calle Virgen de la Cinta, Asunción - Adolfo Suárez, Sevilla;4 hab.;340;130 m²;2;1;1;41011;0;2
Piso en calle Virgen de la Cinta, Ramón de Carranza - Madre Rafols, Sevilla;4 hab.;525;220 m²;2;0;1;41011;1962;2
Piso en calle Virgen de la Cinta, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;420;206 m²;2;1;0;41011;1970;2
Piso en calle Virgen de la Cinta, Ramón de Carranza - Madre Rafols, Sevilla;4 hab.;350;130 m²;2;0;1;41011;1985;2
Piso en calle Virgen de la Cinta, Ramón de Carranza - Madre Rafols, Sevilla;2 hab.;345;115 m²;2;0;0;41011;0;2
Piso en calle Virgen de la Cinta, Ramón de Carranza - Madre Rafols, Sevilla;3 hab.;296,94;87 m²;2;0;1;41011;0;2
Piso en calle Virgen de la Cinta, Ramón de Carranza - Madre Rafols, Sevilla;4 hab.;290;130 m²;2;0;1;41011;0;2
Piso en calle Virgen de la Estrella, Ramón de Carranza - Madre Rafols, Sevilla;3 hab.;220;89 m²;1;0;1;41011;0;2
Piso en calle Virgen de la Victoria, Parque de los Principes - Calle Niebla, Sevilla;2 hab.;150;80 m²;1;0;0;41011;1965;2
Piso en calle Virgen de la Victoria, Parque de los Principes - Calle Niebla, Sevilla;2 hab.;150;80 m²;1;0;0;41011;1965;2
Piso en calle Virgen de Luján, 20, Parque de los Principes - Calle Niebla, Sevilla;3 hab.;725;213 m²;4;0;1;41011;0;2
Piso en calle Virgen de Luján, Asunción - Adolfo Suárez, Sevilla;2 hab.;325;106 m²;2;0;1;41011;2019;2
Piso en calle Virgen de Luján, Asunción - Adolfo Suárez, Sevilla;2 hab.;325;104 m²;2;0;1;41011;2019;2
Piso en calle Virgen de Luján, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;725;270 m²;3;1;1;41011;1960;2
Piso en calle Virgen de Luján, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;600;226 m²;3;0;1;41011;1973;2
Piso en calle Virgen de Luján, Ramón de Carranza - Madre Rafols, Sevilla;6 hab.;590;250 m²;3;0;0;41011;0;2
Piso en calle Virgen de Luján, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;590;280 m²;4;1;1;41011;0;2
Piso en calle Virgen de Luján, Sevilla, Asunción - Adolfo Suárez, Sevilla;5 hab.;560;210 m²;3;0;1;41011;0;2
Piso en calle Virgen de Luján, Sevilla, Ramón de Carranza - Madre Rafols, Sevilla;4 hab.;725;269 m²;3;1;1;41011;0;2
Piso en calle Virgen de Luján, Sevilla, Ramón de Carranza - Madre Rafols, Sevilla;6 hab.;620;250 m²;3;0;0;41011;0;2
Piso en calle Virgen de Montserrat, Asunción - Adolfo Suárez, Sevilla;4 hab.;495;202 m²;2;0;1;41011;1975;2
Piso en calle Virgen de Regla, Asunción - Adolfo Suárez, Sevilla;5 hab.;426;200 m²;3;0;1;41011;1969;2
Piso en calle Virgen de Regla, Asunción - Adolfo Suárez, Sevilla;5 hab.;390;197 m²;2;0;1;41011;1969;2
Piso en calle Virgen de Setefilla, Parque de los Principes - Calle Niebla, Sevilla;4 hab.;480;183 m²;3;0;1;41011;1963;2
Piso en calle Virgen de Setefilla, Parque de los Principes - Calle Niebla, Sevilla;1 hab.;287,5;175 m²;1;0;1;41011;0;2
Piso en calle Virgen de Todos los Santos, Parque de los Principes - Calle Niebla, Sevilla;3 hab.;165;67 m²;1;0;1;41011;0;2
Piso en calle Virgen del Valle, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;420;187 m²;2;0;1;41011;0;2
Piso en calle Virtud, 23, López de Gomara, Sevilla;2 hab.;250;123 m²;1;0;1;41010;0;5
Piso en callejón Oropesa, 4, Santa Cruz - Alfalfa, Sevilla;1 hab.;185;61 m²;1;0;0;41004;1930;53
Piso en callejón Virgen de la Luz, Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla;2 hab.;177;60 m²;1;0;0;41003;0;44
Piso en camino de los Toros, 3, Pino Montano, Sevilla;3 hab.;96,91;82 m²;1;0;0;41015;0;0
Piso en camino de los Toros, Pino Montano, Sevilla;3 hab.;96,91;82 m²;2;0;0;41015;0;0
Piso en Cardenal Cisneros, 3, Plaza de la Gavidia-San Lorenzo, Sevilla;3 hab.;699,999;183 m²;2;0;0;41002;2019;17
Piso en carretera de Carmona, Ctra. de Carmona-Miraflores, Sevilla;2 hab.;265;94 m²;2;1;0;41008;2007;1
Piso en CEAN BERMUDEZ, Nervión, Sevilla;5 hab.;470;207 m²;2;1;1;41005;1972;2
Piso en Cerro del Águila, Sevilla;2 hab.;98;75 m²;1;0;0;41006;0;1
Piso en Cerro del Águila, Sevilla;2 hab.;114;86 m²;1;0;0;41006;2019;1
Piso en Cerro del Águila, Sevilla;3 hab.;166;113 m²;2;0;1;41006;2019;1
Piso en Cerro del Águila, Sevilla;3 hab.;163;110 m²;1;0;0;41006;2019;1
Piso en CHAPISTAS, Pino Montano, Sevilla;3 hab.;86;77 m²;1;0;0;41015;1977;0
Piso en Ciudad de Alfafar, 5, Parque Alcosa, Sevilla;3 hab.;80,2;89 m²;1;0;1;41019;1971;0
Piso en Ciudad de Oliva, Parque Alcosa, Sevilla;3 hab.;93;82 m²;1;0;1;41019;1971;0
Piso en Ciudad de Paterna, Parque Alcosa, Sevilla;3 hab.;91,05;90 m²;1;0;0;41019;1971;0
Piso en Comunidad Gallega, Villegas - Los Principes, Sevilla;3 hab.;64;58 m²;1;0;1;41011;1972;2
Piso en Corral del Rey, Santa Cruz - Alfalfa, Sevilla;1 hab.;298;84 m²;1;0;0;41004;0;53
Piso en Cruz Roja - Capuchinos, Sevilla;2 hab.;125;60 m²;1;0;0;41009;0;2
Piso en Cruz Roja - Capuchinos, Sevilla;3 hab.;377;164 m²;2;0;0;41009;2010;2
Piso en Cruz Roja - Capuchinos, Sevilla;3 hab.;377;119 m²;2;0;0;41009;2009;2
Piso en Cruz Roja - Capuchinos, Sevilla;4 hab.;370,6;151 m²;2;0;0;41009;0;2
Piso en Cruz Roja - Capuchinos, Sevilla;3 hab.;352;153 m²;3;0;0;41009;2010;2
Piso en Cruz Roja - Capuchinos, Sevilla;4 hab.;350;140 m²;2;0;1;41009;0;2
Piso en Cruz Roja - Capuchinos, Sevilla;3 hab.;329;143 m²;3;0;0;41009;0;2
Piso en Cruz Roja - Capuchinos, Sevilla;2 hab.;252;109 m²;2;0;0;41009;2010;2
Piso en Cruz Roja - Capuchinos, Sevilla;3 hab.;246;119 m²;2;0;0;41009;2001;2
Piso en Cruz Roja - Capuchinos, Sevilla;4 hab.;246;150 m²;2;0;1;41009;0;2
Piso en Cruz Roja - Capuchinos, Sevilla;5 hab.;225;124 m²;3;0;0;41009;1976;2
Piso en Cruz Roja - Capuchinos, Sevilla;1 hab.;213;88 m²;1;0;0;41009;2010;2
Piso en Cruz Roja - Capuchinos, Sevilla;4 hab.;201;96 m²;2;0;0;41009;1974;2
Piso en Cruz Roja - Capuchinos, Sevilla;3 hab.;187,7;83 m²;1;0;0;41009;0;2
Piso en CRUZ ROJA, Cruz Roja - Capuchinos, Sevilla;1 hab.;165;56 m²;1;0;0;41009;0;2
Piso en Ctra. de Carmona-Miraflores, Sevilla;3 hab.;112,3;65 m²;1;0;0;41008;0;1
Piso en Ctra. de Carmona-Miraflores, Sevilla;3 hab.;127,5;71 m²;1;0;1;41008;1985;1
Piso en Ctra. de Carmona-Miraflores, Sevilla;2 hab.;150;90 m²;1;1;1;41008;1981;1
Piso en Ctra. de Carmona-Miraflores, Sevilla;3 hab.;179;82 m²;1;0;0;41008;1972;1
Piso en Ctra. de Carmona-Miraflores, Sevilla;3 hab.;167,3;90 m²;1;0;1;41008;1985;1
Piso en Ctra. de Carmona-Miraflores, Sevilla;3 hab.;166;78 m²;1;0;1;41008;1991;1
Piso en Ctra. de Carmona-Miraflores, Sevilla;3 hab.;164;85 m²;1;0;0;41008;0;1
